name,start,end,position,score,start_frame,end_frame,num_frames,target_distance,pdistance,pspeed,bspeed
serve,"01'04""","01'05""",bl,0,1232,1247,15,22.82542442,16.40121947,1.093414631,419.020487
dig,"01'05""","01'06""",tr,0,1247,1273,26,105.6882207,97.86214794,3.763928767,167.9940875
pass,"01'06""","01'07""",tl,0,1274,1304,30,69.42621983,64.66065264,2.155355088,243.7265195
spike,"01'07""","01'08""",tr,0,1304,1324,20,299.2022727,138.0036231,6.900181157,252.4896305
block,"01'07""","01'08""",br,0,1301,1305,4,0,29.06888371,7.267220927,268.4259875
dig,"01'08""","01'09""",br,0,1324,1351,27,80.99382693,77.62087348,2.874847166,211.1968889
dig,"01'09""","01'11""",br,0,1351,1381,30,94.66784037,121.6593605,4.055312017,307.4832035
spike,"01'11""","01'12""",bl,0,1382,1399,17,76.1642961,92.08691547,5.41687738,263.8150511
block,"01'11""","01'12""",tr,1,1377,1382,5,0,37,7.4,289.438787
serve,"01'36""","01'37""",tr,0,1845,1866,21,98.85848471,61.18823416,2.913725436,225.2900935
dig,"01'37""","01'38""",bl,0,1867,1900,33,85.95929269,84.8763807,2.572011536,257.5179539
pass,"01'38""","01'39""",br,0,1902,1933,31,78.16009212,108.2266141,3.4911811,386.7959552
spike,"01'39""","01'41""",bl,0,1933,1955,22,110.8196733,116.965807,5.31662759,153.7540711
block,"01'39""","01'41""",tl,0,1928,1933,5,0,28.0713377,5.614267539,315.854047
dig,"01'41""","01'42""",tr,0,1956,1980,24,70.40596566,71.56814934,2.982006223,159.4712164
pass,"01'42""","01'43""",tr,0,1981,2009,28,39.29376541,40.11234224,1.432583651,276.6878241
spike,"01'43""","01'45""",tl,1,2010,2025,15,103.4698024,69.11584478,4.607722986,482.8015803
block,"01'43""","01'45""",bl,0,2006,2010,4,0,28.01785145,7.004462863,314.9145038
serve,"02'10""","02'11""",tr,0,2497,2520,23,79.0569415,27.01851217,1.174717921,247.6950439
dig,"02'11""","02'12""",bl,0,2519,2549,30,76.2758153,91.58602513,3.052867504,264.4179863
pass,"02'12""","02'14""",br,0,2550,2581,31,90.55385138,133.454112,4.304971354,314.9987814
spike,"02'14""","02'15""",bl,1,2581,2588,7,69.26037828,28.44292531,4.063275044,289.7363838
block,"02'14""","02'15""",tr,0,2575,2581,6,0,36.34556369,6.057593948,330.6618184
serve,"02'32""","02'33""",br,0,2925,2943,18,21.02379604,28.63564213,1.590869007,180.9505971
dig,"02'33""","02'34""",tr,0,2944,2963,19,58.18075283,71.69379332,3.773357543,146.4023814
dig,"02'34""","02'35""",tl,0,2963,2993,30,38.47076812,40.79215611,1.359738537,349.2184794
spike,"02'35""","02'37""",tr,1,2994,3004,10,313.2299475,13.34166406,1.334166406,559.4394895
block,"02'35""","02'37""",br,0,2991,2994,3,0,23.02172887,7.673909622,421.3294599
serve,"02'56""","02'57""",tl,0,3366,3385,19,123.4058345,56.32051136,2.96423744,254.5194227
dig,"02'57""","02'58""",bl,0,3385,3410,25,84.8763807,96.9381246,3.877524984,294.6720898
pass,"02'58""","02'59""",br,0,3412,3446,34,105.1522705,131.2440475,3.860119044,345.5422071
spike,"02'59""","03'01""",bl,1,3446,3453,7,40.19950248,74.00675645,10.57239378,128.2514681
block,"02'59""","03'01""",tl,0,3442,3446,4,0,30.52867504,7.632168761,411.9300789
pass,"03'01""","03'02""",tl,0,3453,3489,36,313.676585,7.071067812,0.19641855,513.6796809
serve,"03'18""","03'19""",bl,0,3788,3803,15,42.20189569,20.1246118,1.341640786,364.6725991
dig,"03'19""","03'20""",tr,0,3803,3834,31,89.31965069,85.23496935,2.74951514,233.4089388
pass,"03'20""","03'21""",tl,0,3834,3865,31,44.40720662,45.09988914,1.454835133,285.9857278
spike,"03'21""","03'23""",tr,1,3865,3885,20,241.0331927,115.4123044,5.770615219,264.810037
block,"03'21""","03'23""",br,0,3861,3865,4,0,21.37755833,5.344389582,317.4055555
serve,"03'44""","03'45""",tr,0,4287,4312,25,8.062257748,27.07397274,1.08295891,221.4907332
dig,"03'45""","03'46""",bl,0,4313,4344,31,42.72001873,31.38470965,1.012409989,294.3258817
pass,"03'46""","03'48""",br,0,4344,4379,35,122.6539849,140.4065526,4.011615787,357.6519714
spike,"03'48""","03'50""",bl,0,4379,4393,14,83.05419917,110.1635148,7.868822488,151.453039
block,"03'48""","03'50""",tl,0,4374,4379,5,0,31.95309062,6.390618123,387.5273317
dig,"03'50""","03'51""",tr,0,4393,4415,22,54.91812087,44.91102315,2.041410143,146.1198239
pass,"03'51""","03'52""",tl,0,4415,4445,30,37,41,1.366666667,256.6570209
spike,"03'52""","03'53""",tr,1,4446,4458,12,338.6118722,59.07622195,4.923018496,459.656699
block,"03'52""","03'53""",br,0,4441,4445,4,0,25.70992026,6.427480066,300.7909084
serve,"04'22""","04'23""",bl,0,4998,5020,22,83.15046602,42.75511665,1.943414393,249.319048
dig,"04'23""","04'24""",tr,0,5020,5047,27,82.96987405,72.277244,2.676934963,206.6624171
pass,"04'24""","04'25""",tl,0,5048,5081,33,56.04462508,41.43669871,1.255657537,310.0654821
spike,"04'25""","04'27""",tr,1,5081,5090,9,264.2006813,93.21480569,10.35720063,870.8592546
block,"04'25""","04'27""",br,0,5078,5081,3,0,25.3179778,8.439325934,284.0776298
serve,"04'49""","04'50""",tl,0,5521,5539,18,27.51363298,32.28002478,1.79333471,258.436405
dig,"04'50""","04'51""",bl,0,5539,5567,28,114.2322196,126.0872714,4.503116834,215.9958429
pass,"04'51""","04'52""",br,0,5568,5597,29,85.91274643,134.8258136,4.649165985,287.0051086
spike,"04'52""","04'54""",bl,0,5597,5618,21,252.9584946,143.5896932,6.837604439,169.9918557
block,"04'52""","04'54""",tl,1,5593,5597,4,0,24.73863375,6.184658438,323.9804412
serve,"05'14""","05'15""",tl,0,5990,6012,22,35.35533906,15.26433752,0.693833524,216.8342998
dig,"05'15""","05'16""",bl,0,6012,6040,28,99.32774033,106.3202709,3.797152531,250.2676343
pass,"05'16""","05'17""",br,0,6040,6071,31,139.4022955,177.6091214,5.729326496,298.5203428
spike,"05'17""","05'19""",bl,0,6071,6083,12,63.00793601,5.099019514,0.424918293,418.6675884
block,"05'17""","05'19""",tl,0,6069,6072,3,0,22.20360331,7.401201104,0
dig,"05'19""","05'20""",tr,0,6083,6107,24,104.1393297,148.6371421,6.193214253,175.9033048
spike,"05'20""","05'21""",tl,0,6107,6117,10,88.76936408,35.80502758,3.580502758,179.1124739
block,"05'20""","05'21""",br,0,6100,6107,7,0,46.5295605,6.647080071,165.2655996
dig,"05'21""","05'22""",br,0,6117,6136,19,56.32051136,30.41381265,1.600726982,166.7878619
dig,"05'22""","05'23""",bl,0,6136,6158,22,22.627417,47.20169488,2.145531586,226.0852547
spike,"05'23""","05'24""",br,1,6159,6175,16,166.5442884,14,0.875,127.2213642
block,"05'23""","05'24""",tr,0,6155,6160,5,0,21.54065923,4.308131846,186.09969
